algorithm,node,rate,function,start_time,end_time,time_usage,throughput
pbft,5,1,add,1716620088580770607,1716621103000000000,1014.419229393,0.9857857294349318
pbft,5,3,add,1716621380219938689,1716621726000000000,345.780061311,2.8920117493431303
pbft,5,5,add,1716622211300961220,1716622430000000000,218.69903878,4.5724938050868555
pbft,5,6,add,1716656654045804323,1716656839000000000,184.954195677,5.406744066224799
pbft,5,7,add,1716625326433693687,1716625500000000000,173.566306313,5.761486899402321
pbft,5,9,add,1716625812294292399,1716625961000000000,148.705707601,6.72469144683506
pbft,5,10,add,1716616776721263200,1716616920000000000,143.2787368,6.979402682729403
pbft,5,20,add,1716617977873820383,1716618125000000000,147.126179617,6.796886880385311
pbft,5,1,check,1716689568567388043,1716690580000000000,1011.432611957,0.988696615254595
pbft,5,3,check,1716690798832507267,1716691143000000000,344.167492733,2.905562033355036
pbft,5,5,check,1716691698603325522,1716691916000000000,217.396674478,4.599886370852455
pbft,5,7,check,1716692157460515491,1716692328000000000,170.539484509,5.8637447092038455
pbft,5,9,check,1716692591981026873,1716692740000000000,148.018973127,6.755890673163918
pbft,5,10,check,1716715476582944512,1716715618000000000,141.417055488,7.07128285587063
pbft,5,15,check,1716715702223066846,1716715849000000000,146.776933154,6.813059644397862
pbft,7,10,check,1716694876921292328,1716695064000000000,187.078707672,5.345343745656361
pbft,9,10,check,1716716380833250386,1716716660000000000,279.166749614,3.5820884879115655
pbft,11,10,check,1716716798258299302,1716717096000000000,297.741700698,3.3586158662212453
pbft,13,10,check,1716717399653896272,1716717760000000000,360.346103728,2.7751097893230723
pbft,15,10,check,1716718366286858474,1716718895000000000,528.713141526,1.891384801054399